"sample","sex","resexed","strain"
"NZO.HILtJm0591.1","m",FALSE,"NZO/HILtJ"
"NZO.HILtJm36511","m",FALSE,"NZO/HILtJ"
"PWK.PhJf1085","f",FALSE,"PWK/PhJ"
"PWK.PhJf1085.1","f",FALSE,"PWK/PhJ"
"PWK.PhJf1085.2","f",FALSE,"PWK/PhJ"
"PWK.PhJf1085.3","f",FALSE,"PWK/PhJ"
"PWK.PhJm0175","m",FALSE,"PWK/PhJ"
"PWK.PhJm1090","m",FALSE,"PWK/PhJ"
"PWK.PhJm1236","m",FALSE,"PWK/PhJ"
"PWK.PhJm1257","m",FALSE,"PWK/PhJ"
"WSB.EiJf1007","f",FALSE,"WSB/EiJ"
"WSB.EiJf1007.1","f",FALSE,"WSB/EiJ"
"WSB.EiJf1007.2","f",FALSE,"WSB/EiJ"
"WSB.EiJf1007.3","f",FALSE,"WSB/EiJ"
"WSB.EiJm0470","m",FALSE,"WSB/EiJ"
"WSB.EiJm0993","m",FALSE,"WSB/EiJ"
"WSB.EiJm1345","m",FALSE,"WSB/EiJ"
"WSB.EiJm34780","m",FALSE,"WSB/EiJ"
"X.129S1.SvImJxA.J.F1f0056","f",FALSE,"(129S1/SvImJxA/J)F1"
"X.129S1.SvImJxA.J.F1f0056.1","f",FALSE,"(129S1/SvImJxA/J)F1"
"X.129S1.SvImJxC57BL.6J.F1f15916","f",FALSE,"(129S1/SvImJxC57BL/6J)F1"
"X.129S1.SvImJxC57BL.6J.F1m15914","m",FALSE,"(129S1/SvImJxC57BL/6J)F1"
"X.129S1.SvImJxCAST.EiJ.F1f005","f",FALSE,"(129S1/SvImJxCAST/EiJ)F1"
"X.129S1.SvImJxCAST.EiJ.F1m002","m",FALSE,"(129S1/SvImJxCAST/EiJ)F1"
"X.129S1.SvImJxNOD.ShiLtJ.F1f0063","f",FALSE,"(129S1/SvImJxNOD/ShiLtJ)F1"
"X.129S1.SvImJxNZO.HILtJ.F1f0005","f",FALSE,"(129S1/SvImJxNZO/HILtJ)F1"
"X.129S1.SvImJxNZO.HILtJ.F1m0004","m",FALSE,"(129S1/SvImJxNZO/HILtJ)F1"
"X.129S1.SvImJxPWK.PhJ.F1f040","f",FALSE,"(129S1/SvImJxPWK/PhJ)F1"
"X.129S1.SvImJxPWK.PhJ.F1f040.1","f",FALSE,"(129S1/SvImJxPWK/PhJ)F1"
"X.129S1.SvImJxPWK.PhJ.F1m037","m",FALSE,"(129S1/SvImJxPWK/PhJ)F1"
"X.129S1.SvImJxWSB.EiJ.F1f0013","f",FALSE,"(129S1/SvImJxWSB/EiJ)F1"
"X.129S1.SvImJxWSB.EiJ.F1m0006","m",FALSE,"(129S1/SvImJxWSB/EiJ)F1"
"X.A.Jx129S1.SvImJ.F1m","m",FALSE,"(A/Jx129S1/SvImJ)F1"
"X.A.Jx129S1.SvImJ.F1m.1","m",FALSE,"(A/Jx129S1/SvImJ)F1"
"X.A.JxC57BL.6J.F1f0095","f",FALSE,"(A/JxC57BL/6J)F1"
"X.A.JxCAST.EiJ.F1m15765","m",FALSE,"(A/JxCAST/EiJ)F1"
"X.A.JxNOD.ShiLtJ.F1f15432","f",FALSE,"(A/JxNOD/ShiLtJ)F1"
"X.A.JxNOD.ShiLtJ.F1m15427","m",FALSE,"(A/JxNOD/ShiLtJ)F1"
"X.A.JxNZO.HILtJ.F1f","f",FALSE,"(A/JxNZO/HILtJ)F1"
"X.A.JxPWK.PhJ.F1f001","f",FALSE,"(A/JxPWK/PhJ)F1"
"X.A.JxPWK.PhJ.F1m006","m",FALSE,"(A/JxPWK/PhJ)F1"
"X.A.JxWSB.EiJ.F1f0030","f",FALSE,"(A/JxWSB/EiJ)F1"
"X.A.JxWSB.EiJ.F1m0197","m",FALSE,"(A/JxWSB/EiJ)F1"
"X.A.JxWSB.EiJ.F1m0197.1","m",FALSE,"(A/JxWSB/EiJ)F1"
"X.C57BL.6Jx129S1.SvImJ.F1f15580","f",FALSE,"(C57BL/6Jx129S1/SvImJ)F1"
"X.C57BL.6Jx129S1.SvImJ.F1m15575","m",FALSE,"(C57BL/6Jx129S1/SvImJ)F1"
"X.C57BL.6JxA.J.F1f0298","f",FALSE,"(C57BL/6JxA/J)F1"
"X.C57BL.6JxA.J.F1m0297","m",FALSE,"(C57BL/6JxA/J)F1"
"X.C57BL.6JxA.J.F1m0297.1","m",FALSE,"(C57BL/6JxA/J)F1"
"X.C57BL.6JxCAST.EiJ.F1f0016","f",FALSE,"(C57BL/6JxCAST/EiJ)F1"
"X.C57BL.6JxCAST.EiJ.F1f0016.1","f",FALSE,"(C57BL/6JxCAST/EiJ)F1"
"X.C57BL.6JxNOD.ShiLtJ.F1f0018","f",FALSE,"(C57BL/6JxNOD/ShiLtJ)F1"
"X.C57BL.6JxNZO.HILtJ.F1f0016","f",FALSE,"(C57BL/6JxNZO/HILtJ)F1"
"X.C57BL.6JxNZO.HILtJ.F1m15853","m",FALSE,"(C57BL/6JxNZO/HILtJ)F1"
"X.C57BL.6JxPWK.PhJ.F1f002","f",FALSE,"(C57BL/6JxPWK/PhJ)F1"
"X.C57BL.6JxPWK.PhJ.F1m005","m",FALSE,"(C57BL/6JxPWK/PhJ)F1"
"X.C57BL.6JxPWK.PhJ.F1m005.1","m",FALSE,"(C57BL/6JxPWK/PhJ)F1"
"X.C57BL.6JxWSB.EiJ.F1f0300","f",FALSE,"(C57BL/6JxWSB/EiJ)F1"
