Index	Name	ID	Gender	Plate	Well	Group	Parent1	Parent2	Replicate	SentrixPosition
132	PAE_041_HG_Y_B5	PAE_041_HG_Y_B5	Unknown	49003	D5					10004312012_R09C02
133	PAH	PAH	Unknown	49003	E5					10004312015_R09C01
134	JAXMP_spt_ES_02780-K	JAXMP_spt_ES_02780-K	Unknown	49003	F5					10004312015_R09C02
135	JAXMP_cookii_TH_BC19281	JAXMP_cookii_TH_BC19281	Unknown	49003	G5					10004312023_R09C01
136	IN25	IN25	Unknown	49003	H5					10004312023_R09C02
137	129S6/SvEvTacm	129S6/SvEvTacm	Unknown	49003	A6					10004312010_R11C01
138	DBA/2Jm35394	DBA/2Jm35394	Unknown	49003	B6					10004312010_R11C02
139	UNC_DO_G16_015F	UNC_DO_G16_015F	Unknown	49003	C6					10004312012_R11C01
140	PAE_033_HG_Y_q1	PAE_033_HG_Y_q1	Unknown	49003	D6					10004312012_R11C02
141	KTK	KTK	Unknown	49003	E6					10004312015_R11C01
142	JAXMP_spt_ES_00270-H	JAXMP_spt_ES_00270-H	Unknown	49003	F6					10004312015_R11C02
143	JAXMP_cookii_TH_BC21321	JAXMP_cookii_TH_BC21321	Unknown	49003	G6					10004312023_R11C01
144	IN34	IN34	Unknown	49003	H6					10004312023_R11C02
145	129S7m	129S7m	Unknown	49003	A7					10004312010_R02C01
146	LG/Jm35798	LG/Jm35798	Unknown	49003	B7					10004312010_R02C02
147	UNC_DO_G16_116F	UNC_DO_G16_116F	Unknown	49003	C7					10004312012_R02C01
148	PAE_033_HG_Y_q3	PAE_033_HG_Y_q3	Unknown	49003	D7					10004312012_R02C02
149	PasteurInst_STF	PasteurInst_STF	Unknown	49003	E7					10004312015_R02C01
150	JAXMP_dom_WS00031-K	JAXMP_dom_WS00031-K	Unknown	49003	F7					10004312015_R02C02
151	JAXMP_pahari_TH_BC21314	JAXMP_pahari_TH_BC21314	Unknown	49003	G7					10004312023_R02C01
152	IN40	IN40	Male	49003	H7					10004312023_R02C02
153	129T2/SvEmsJm37318	129T2/SvEmsJm37318	Unknown	49003	A8					10004312010_R04C01
154	LP/Jm35861	LP/Jm35861	Unknown	49003	B8					10004312010_R04C02
155	UNC_DO_G16_125F	UNC_DO_G16_125F	Female	49003	C8					10004312012_R04C01
156	PAE_041_HG_E_467	PAE_041_HG_E_467	Unknown	49003	D8					10004312012_R04C02
157	FVB001	FVB001	Unknown	49003	E8					10004312015_R04C01
158	JAXMP_dom_WS00032-K	JAXMP_dom_WS00032-K	Unknown	49003	F8					10004312015_R04C02
159	JAXMP_hort_RS_BC21330	JAXMP_hort_RS_BC21330	Unknown	49003	G8					10004312023_R04C01
160	IN54	IN54	Unknown	49003	H8					10004312023_R04C02
161	129X1/SvJm35008	129X1/SvJm35008	Unknown	49003	A9					10004312010_R06C01
162	LT/SvEiJm38177	LT/SvEiJm38177	Unknown	49003	B9					10004312010_R06C02
163	UNC_DO_G16_107F	UNC_DO_G16_107F	Unknown	49003	C9					10004312012_R06C01
164	YCAm	YCAm	Unknown	49003	D9					10004312012_R06C02
165	PANCEVO/EiJ31581	PANCEVO/EiJ31581	Unknown	49003	E9					10004312015_R06C01
166	JAXMP_dom_WS00035-K	JAXMP_dom_WS00035-K	Unknown	49003	F9					10004312015_R06C02
167	JAXMP_dom_CLA21333	JAXMP_dom_CLA21333	Unknown	49003	G9					10004312023_R06C01
168	MWN1194	MWN1194	Unknown	49003	H9					10004312023_R06C02
169	ALR/LtJm34133	ALR/LtJm34133	Unknown	49003	A10					10004312010_R08C01
170	NON/ShiLtJm38111	NON/ShiLtJm38111	Unknown	49003	B10					10004312010_R08C02
171	UNC_DO_G13_049F	UNC_DO_G13_049F	Unknown	49003	C10					10004312012_R08C01
172	XBSm	XBSm	Unknown	49003	D10					10004312012_R08C02
173	SPRET/EiJ	SPRET/EiJ	Unknown	49003	E10					10004312015_R08C01
174	JAXMP_dom_WS00033-K	JAXMP_dom_WS00033-K	Unknown	49003	F10					10004312015_R08C02
175	JAXMP_dom_CLA24302	JAXMP_dom_CLA24302	Unknown	49003	G10					10004312023_R08C01
176	MWN1030	MWN1030	Unknown	49003	H10					10004312023_R08C02
177	C3H/HeJm39336	C3H/HeJm39336	Unknown	49003	A11					10004312010_R10C01
178	NOR/LtJm32299	NOR/LtJm32299	Unknown	49003	B11					10004312010_R10C02
179	DO44RIX004	DO44RIX004	Unknown	49003	C11					10004312012_R10C01
180	ZRUm	ZRUm	Unknown	49003	D11					10004312012_R10C02
181	JAXMP_spt_UNK_SP120381-K	JAXMP_spt_UNK_SP120381-K	Unknown	49003	E11					10004312015_R10C01
182	JAXMP_dom_WS00034-K	JAXMP_dom_WS00034-K	Unknown	49003	F11					10004312015_R10C02
183	BAG74u	BAG74u	Unknown	49003	G11					10004312023_R10C01
184	MWN1026	MWN1026	Unknown	49003	H11					10004312023_R10C02
185	C3H/HeNTac	C3H/HeNTac	Unknown	49003	A12					10004312010_R12C01
186	NZB/BlNJm38047	NZB/BlNJm38047	Unknown	49003	B12					10004312010_R12C02
187	PAE_041_HG_E_463	PAE_041_HG_E_463	Unknown	49003	C12					10004312012_R12C01
188	UM2_FB_SEG	UM2_FB_SEG	Unknown	49003	D12					10004312012_R12C02
189	JAXMP_spt_UNK_SP120385-K	JAXMP_spt_UNK_SP120385-K	Unknown	49003	E12					10004312015_R12C01
190	JAXMP_dom_WSA24298-K	JAXMP_dom_WSA24298-K	Unknown	49003	F12					10004312015_R12C02
191	CE502	CE502	Unknown	49003	G12					10004312023_R12C01
192	MWN1198	MWN1198	Unknown	49003	H12					10004312023_R12C02
193	3154x16211f4	3154x16211f4	Unknown	49004	A1					10004312025_R01C01
194	5119x13067f6	5119x13067f6	Unknown	49004	B1					10004312025_R01C02
195	15156x1566f186	15156x1566f186	Unknown	49004	C1					10004312026_R01C01
196	8033x16557f10	8033x16557f10	Unknown	49004	D1					10004312026_R01C02
197	5080x16750m4	5080x16750m4	Unknown	49004	E1					10004312028_R01C01
198	16072x4410f13	16072x4410f13	Unknown	49004	F1					10004312028_R01C02
199	37132m6	37132m6	Unknown	49004	G1					10004312029_R01C01
200	36891m8763	36891m8763	Unknown	49004	H1					10004312029_R01C02
201	867x3252f9	867x3252f9	Unknown	49004	A2					10004312025_R03C01
202	16441x8005f63	16441x8005f63	Unknown	49004	B2					10004312025_R03C02
203	8049x8046f5	8049x8046f5	Unknown	49004	C2					10004312026_R03C01
204	8036x5035f8	8036x5035f8	Unknown	49004	D2					10004312026_R03C02
205	16012x8056f6	16012x8056f6	Unknown	49004	E2					10004312028_R03C01
206	16296x16072f4	16296x16072f4	Unknown	49004	F2					10004312028_R03C02
207	37094m2	37094m2	Unknown	49004	G2					10004312029_R03C01
208	37358m2528	37358m2528	Unknown	49004	H2					10004312029_R03C02
209	559x8031f5	559x8031f5	Unknown	49004	A3					10004312025_R05C01
210	16211x13140f23	16211x13140f23	Unknown	49004	B3					10004312025_R05C02
211	8048x8049f6	8048x8049f6	Unknown	49004	C3					10004312026_R05C01
212	5612x3393f8	5612x3393f8	Unknown	49004	D3					10004312026_R05C02
213	15155x16012f7	15155x16012f7	Unknown	49004	E3					10004312028_R05C01
214	36983m4549	36983m4549	Unknown	49004	F3					10004312028_R05C02
215	11666m45109	11666m45109	Unknown	49004	G3					10004312029_R05C01
216	37341m7622	37341m7622	Unknown	49004	H3					10004312029_R05C02
217	3252x3154f22	3252x3154f22	Unknown	49004	A4					10004312025_R07C01
218	16912x16211f130	16912x16211f130	Unknown	49004	B4					10004312025_R07C02
219	8024x8004f1	8024x8004f1	Unknown	49004	C4					10004312026_R07C01
220	477x8052f1	477x8052f1	Unknown	49004	D4					10004312026_R07C02
221	13421x15155f5	13421x15155f5	Unknown	49004	E4					10004312028_R07C01
222	36974m4300	36974m4300	Unknown	49004	F4					10004312028_R07C02
223	37396m7420	37396m7420	Unknown	49004	G4					10004312029_R07C01
224	11888m7081	11888m7081	Unknown	49004	H4					10004312029_R07C02
225	3015x15156f1	3015x15156f1	Unknown	49004	A5					10004312025_R09C01
226	3032x16188f94	3032x16188f94	Unknown	49004	B5					10004312025_R09C02
227	3415x8026f1	3415x8026f1	Unknown	49004	C5					10004312026_R09C01
228	5306x5612f1	5306x5612f1	Unknown	49004	D5					10004312026_R09C02
229	773x1515f6	773x1515f6	Unknown	49004	E5					10004312028_R09C01
230	37106m5514	37106m5514	Unknown	49004	F5					10004312028_R09C02
